inputs,responses,,,
hello|hi|hey|good morning|good evening,hello sir|hi master|good night bro|hello how can I help you,,,
who are you|what are you|tell me about yourself|who r u,I am CampusEdu Smart Chatbot|I am your campus assistant chatbot|I am a chatbot made to help with campus questions,,,
what is chatbot|what is a chatbot|define chatbot|chatbot meaning,A chatbot is a program that talks with users and answers questions|A chatbot is software that understands messages and replies automatically|A chatbot helps users get quick answers through conversation,,,
what can you do|how can you help|help me|what r your features,I can answer saved campus questions and use Gemini for extra help|I can search the local dataset first and then ask Gemini when needed|I can help with common questions, documents, and general answers,
how do you work|how this bot works|how r u working,I check the local database and CSV dataset first, then use Gemini if needed|I match your question with saved data and use AI only when there is no local answer,,
what is your name|your name|ur name,My name is CampusEdu Smart Chatbot|You can call me CampusEdu,,,
who made you|who created you|who developed you,I was created as a CampusEdu chatbot project|I was built for this Python chatbot project,,,
thank you|thanks|thx|ty,You are welcome|Happy to help|Anytime,,,
bye|goodbye|see you,Goodbye|See you soon|Take care,,,
i want to work|work|to do,you can start by telling me the task|boss let's start this work|you can work step by step,,,
what is python|python,Python is a popular programming language used for web apps, AI, automation, and data work|Python is an easy-to-read language used in many software projects
what is ai|what is artificial intelligence|ai meaning,AI means artificial intelligence, where machines perform tasks that usually need human thinking|AI helps computers understand, learn, and make decisions
what is gemini|gemini ai|google gemini,Gemini is an AI model from Google that can answer questions and generate text|Gemini is used here as the online AI fallback,,,
are you online|r u online|online,If the network is available I can use Gemini, otherwise I answer from local data|I can work with local data and use online AI when internet is available,,
how to use this chatbot|use chatbot|how can i use u,Type your question and press Send|Ask me a question and I will answer from local data or Gemini,,,
,,,,
what is my gpa?|show my gpa|how am i doing academically?|what's my grade point average?|tell me my gpa|my gpa please|current gpa,your current gpa is 35,,,
show my gpa|what is my gpa?|display my gpa|gpa please|tell me my gpa,your current gpa is 35,,,
how am i doing academically?|what is my academic standing?|am i passing?|how are my grades?,your current gpa is 35,,,
show me my course schedule|what classes do i have tomorrow?|my timetable please|show timetable|class schedule|course timetable|what are my classes?|today's schedule,here is your course schedule mon  math tue  cs wed  ai,,,
what classes do i have tomorrow?|tomorrow's classes|classes tomorrow|schedule for tomorrow,here is your course schedule mon  math tue  cs wed  ai,,,
my timetable please|show timetable|my schedule|timetable,here is your course schedule mon  math tue  cs wed  ai,,,
how do i reset my password?|i forgot my password|reset my login|forgot password|password reset|can't login|lost my password|change password,to reset your password please visit portaluniversityedureset,,,
i forgot my password|forgot password|lost password|can't remember password|password help,to reset your password please visit portaluniversityedureset,,,
reset my login|reset login|login reset|i can't log in,to reset your password please visit portaluniversityedureset,,,
how much is my tuition fee?|show my fee details|what do i owe?|tuition fee|my fees|how much do i owe?|fee amount|fee balance,your tuition fee for this semester is 4500 payment deadline 15th october,,,
show my fee details|fee details|my fees|show fees,your tuition fee for this semester is 4500 payment deadline 15th october,,,
what do i owe?|how much do i owe?|my balance|outstanding fees,your tuition fee for this semester is 4500 payment deadline 15th october,,,
who is my academic advisor?|show advisor info|advisor details please|who advises me?|my advisor|find my advisor,your academic advisor is dr smith you can reach them at smithuniversityedu,,,
show advisor info|advisor details|who is my advisor?|contact advisor,your academic advisor is dr smith you can reach them at smithuniversityedu,,,
advisor details please|advisor info|advisor contact,your academic advisor is dr smith you can reach them at smithuniversityedu,,,
when is the library open?|library hours|is the library open today?|library timing|library schedule|what time does library open?,the library is open monfri 8am9pm satsun 9am5pm,,,
library hours|when does library open?|library timings|library schedule,the library is open monfri 8am9pm satsun 9am5pm,,,
is the library open today?|library open now?|is library open?,the library is open monfri 8am9pm satsun 9am5pm,,,
when is my next exam?|show exam schedule|do i have exams next week?|upcoming exams|next exam date|exam schedule|when are my exams?,your next exam is ai fundamentals on 12th oct at 10am,,,
show exam schedule|exam timetable|exam schedule|upcoming exams,your next exam is ai fundamentals on 12th oct at 10am,,,
do i have exams next week?|exams next week?|any exams coming?,your next exam is ai fundamentals on 12th oct at 10am,,,
where is the cafeteria?|canteen location|where is the canteen?|cafeteria location|where to eat?,the cafeteria is located in building a ground floor,,,
show campus map|campus map|college map|university map|where is everything on campus?,the campus map is available on the university website under resources,,,
where is admin office?|admin office location|administration office|find admin office,the admin office is in building b room 102,,,
when is the next holiday?|show holiday list|upcoming holidays|next holiday|holiday schedule,the next holiday is on 20th october for dashain,,,
show holiday list|holiday list|all holidays|upcoming holidays|holiday calendar,upcoming holidays 20th oct  dashain 11th nov  tihar,,,
do we have classes tomorrow?|classes tomorrow?|is tomorrow a holiday?|any classes tomorrow?,tomorrow is a regular class day,,,
how do i apply for admission?|what documents are required for admission?|admission deadline|how to apply?|admission process|apply for college|how to get admission?,you can apply online at admissionsuniversityedu,,,
what documents are required for admission?|admission documents|required documents|documents for admission,required documents transcripts id proof application form,,,
admission deadline|last date for admission|admission closing date|admission last date,the admission deadline is 15th july for fall intake,,,
when will results be published?|result date|results announcement|when do results come out?|result release date,results will be published on 30th june,,,
show my exam results|my results|check my results|exam results|display results,you can check your results on the student portal under exam results,,,
how do i check my grades?|check grades|view grades|my grades|grade check,login to student portal  academics  grades,,,
wifi is not working|wi-fi not working|internet not working|no wifi|cannot connect to wifi|network issue,please contact it support at ithelpuniversityedu or call 1234,,,
i cannot log in to portal|can't login|login problem|portal login issue|not able to login,try resetting your password or contact it support,,,
how to connect to campus wifi?|campus wifi setup|connect to campus network|campus internet connection,connect to campusnet and log in with your student id and password,,,
what is the attendance requirement?|minimum attendance|attendance rule|attendance percentage required|how much attendance is required?,Student must maintain at least 75% attendance.,,,
